id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
750066,Stylish apartment close to the city HUTB-004433,3193594,Jan,Eixample,Sant Antoni,41.376079889982165,2.1636163650930644,Entire home/apt,42,21,0,,,6,111
753322,Big beautiful apartment in Gracia 4 rooms,3962572,Magda,Gràcia,la Vila de Gràcia,41.39984684502505,2.157153761228991,Entire home/apt,140,5,138,2018-09-20,2.02,3,290
753369,Habitación en Gràcia,2745269,David,Gràcia,la Vila de Gràcia,41.408621499950215,2.158870929297316,Private room,22,2,0,,,2,340
756580,PENTHOUSE WITH HUGE TERRACE CENTER,1890337,Maribel,Gràcia,la Vila de Gràcia,41.399681971097834,2.1619778660301563,Entire home/apt,77,3,43,2018-09-17,0.60,2,240
756588,Double bed- Ramblas- Charming,3102808,Carlos Y Reyes,Ciutat Vella,el Raval,41.379922278789756,2.1660689920595617,Private room,56,3,55,2018-10-01,0.82,2,359
757149,FANTASTIC APARTMENT | IDEAL FAMILY,3987152,Yeni,Eixample,l'Antiga Esquerra de l'Eixample,41.39012030718775,2.1551839898561362,Entire home/apt,100,1,71,2018-09-21,1.03,1,259
757181,Pretty flat in the gotic area,3987393,Sarita,Ciutat Vella,el Barri Gòtic,41.38203178434521,2.1763039568513047,Entire home/apt,109,32,13,2018-08-16,0.26,1,365
757818,Only For Singles,2528474,Nugz,Eixample,la Dreta de l'Eixample,41.3863211701698,2.165033996225883,Private room,25,1,74,2018-09-24,1.02,1,162
758216,Spain square - Fira apartment -,3426138,David,Eixample,Sant Antoni,41.37578286992313,2.1560869106253353,Entire home/apt,85,3,24,2018-06-17,0.37,2,192
758525,rent a bedroom  1 pers.,3798684,Patricio,Eixample,l'Antiga Esquerra de l'Eixample,41.39063121164405,2.1489397803597345,Private room,20,1,84,2018-08-31,1.17,2,289
758925,Great room in nice environment,3707801,María Del Rosario,Gràcia,la Vila de Gràcia,41.403365244973145,2.154866409634033,Private room,27,2,117,2018-09-25,1.72,2,344
